Xd;Yd;Xu;Yu
2122.2941;226.3585;83.0000;30.0000
2149.3803;227.2405;84.0000;30.0000
2176.4048;228.2897;85.0000;30.0000
2203.1678;229.3066;86.0000;30.0000
2229.9203;230.4258;87.0000;30.0000
143.1034;286.9201;15.0000;31.0000
170.6287;285.1316;16.0000;31.0000
198.2507;283.5791;17.0000;31.0000
367.3878;273.0262;23.0000;31.0000
395.7780;271.5018;24.0000;31.0000
424.6911;269.9875;25.0000;31.0000
453.4596;268.7149;26.0000;31.0000
482.2196;267.3580;27.0000;31.0000
657.5985;259.5157;33.0000;31.0000
687.3811;258.3796;34.0000;31.0000
716.7694;257.2339;35.0000;31.0000
746.2157;256.0034;36.0000;31.0000
775.8536;254.8133;37.0000;31.0000
955.2037;249.2951;43.0000;31.0000
985.1079;248.3230;44.0000;31.0000
1015.1731;247.5338;45.0000;31.0000
1045.1922;246.7830;46.0000;31.0000
1075.2684;246.0576;47.0000;31.0000
1255.5166;243.6066;53.0000;31.0000
1285.5112;243.4522;54.0000;31.0000
1315.5150;243.3730;55.0000;31.0000
1345.3950;243.2976;56.0000;31.0000
1375.3601;243.2504;57.0000;31.0000
1553.3975;243.3943;63.0000;31.0000
1582.6441;243.4625;64.0000;31.0000
1612.0440;243.5306;65.0000;31.0000
1641.4123;243.6543;66.0000;31.0000
1670.7475;243.8978;67.0000;31.0000
1843.8191;246.6780;73.0000;31.0000
1872.5449;247.3901;74.0000;31.0000
1901.1586;248.1497;75.0000;31.0000
1929.2738;248.4841;76.0000;31.0000
1957.5353;249.4461;77.0000;31.0000
2123.9919;254.3029;83.0000;31.0000
2151.0088;254.9924;84.0000;31.0000
2178.1823;255.9058;85.0000;31.0000
2204.8992;256.8965;86.0000;31.0000
2231.7226;257.9626;87.0000;31.0000
142.3714;315.5895;15.0000;32.0000
169.9291;313.6517;16.0000;32.0000
197.7579;311.5631;17.0000;32.0000
366.9243;301.8531;23.0000;32.0000
395.4853;300.3221;24.0000;32.0000
424.1233;299.0536;25.0000;32.0000
453.2751;297.4290;26.0000;32.0000
481.7756;296.2918;27.0000;32.0000
657.4979;288.4387;33.0000;32.0000
687.2144;287.2396;34.0000;32.0000
716.5356;286.1794;35.0000;32.0000
746.1312;285.0013;36.0000;32.0000
775.8441;283.9420;37.0000;32.0000
955.3867;278.1480;43.0000;32.0000
985.3704;277.3849;44.0000;32.0000
1015.4486;276.4767;45.0000;32.0000
1045.5324;275.6646;46.0000;32.0000
1075.6720;275.3855;47.0000;32.0000
1256.2831;272.4866;53.0000;32.0000
1286.1147;272.1629;54.0000;32.0000
1316.3022;271.9487;55.0000;32.0000
1346.0870;271.7466;56.0000;32.0000
1376.1952;271.7216;57.0000;32.0000
1554.3555;271.8247;63.0000;32.0000
1583.7130;271.8874;64.0000;32.0000
1613.1535;272.1097;65.0000;32.0000
1642.5993;272.4960;66.0000;32.0000
1671.9517;272.9770;67.0000;32.0000
1845.2609;275.3634;73.0000;32.0000
1873.8115;276.2530;74.0000;32.0000
1902.4759;276.5366;75.0000;32.0000
1930.8628;277.1063;76.0000;32.0000
1958.8828;278.1085;77.0000;32.0000
2125.5569;282.4110;83.0000;32.0000
2152.7249;283.4643;84.0000;32.0000
2179.8742;284.3138;85.0000;32.0000
2206.6732;285.0698;86.0000;32.0000
2233.4447;285.8899;87.0000;32.0000
114.3623;345.7846;14.0000;33.0000
141.6979;344.5985;15.0000;33.0000
169.4969;342.2693;16.0000;33.0000
197.3229;340.4844;17.0000;33.0000
225.2032;338.8038;18.0000;33.0000
253.3164;337.1792;19.0000;33.0000
281.3664;335.5606;20.0000;33.0000
309.5107;333.9963;21.0000;33.0000
337.8200;332.2831;22.0000;33.0000
366.4213;330.7705;23.0000;33.0000
395.2110;329.2535;24.0000;33.0000
423.6755;327.7587;25.0000;33.0000
452.8475;326.3858;26.0000;33.0000
481.5674;325.0313;27.0000;33.0000
510.9432;323.4786;28.0000;33.0000
539.6912;322.1138;29.0000;33.0000
569.3606;320.8647;30.0000;33.0000
598.3133;319.7376;31.0000;33.0000
